team,kosmos,projka,watch,c1,c2,c3,r1,r2,r3,Control,Treatment,Baseline,,,condition,Base-ratio-1,Base-ratio-2,Base-ratio-3,A-ratio-1,A-ratio-2,A-ratio-3
Treatment 1,Kosmos - A magnetic pen,The stylish pouch!,The only watch you'll need.,23,18,27,67,48,183,,183,,0.696574949250371,0.696574949250371,t,0.0799522673031026,0.218181818181818,0.341417910447761,0.215434083601286,0.12664907651715,0.628865979381443
Treatment 2,"KOSMOS pen, easy and magnetic",Multi function pouches for all,great for the hunter in you,29,30,27,92,68,258,,258,,1.0039847964957,1.0039847964957,t,0.179337231968811,0.0772727272727273,0.796296296296296,0.206741573033708,0.172151898734177,0.677165354330709
Treatment 3,A minimal fountain pen,Last pouch you'll ever need,Watch of the Future,22,27,19,129,64,271,,271,,0.765963745197816,0.765963745197816,t,0.314634146341463,0.547008547008547,0.418856259659969,0.167750325097529,0.170212765957447,0.665847665847666
Treatment 1,Strong beautiful fountain pen,You need this now.,The best that you can get.,29,18,26,21,143,101,,101,,0.526933759016662,0.526933759016662,t,0.0223642172523962,0.147119341563786,0.465437788018433,0.0804597701149425,0.280392156862745,0.12531017369727
Treatment 2,A pen from the future today,Waxed Canvas Pouches,Titanium & Ceramic Watches,27,20,26,183,150,135,,135,,-0.677279069607895,0.677279069607895,t,0.559633027522936,0.153846153846154,0.283613445378151,0.210829493087558,0.414364640883978,0.201492537313433
Treatment 3,A fountain pen with magnets,Functional avant-garde design,the clock of the future,27,29,23,118,8,125,,125,,-0.168353747283707,0.168353747283707,t,0.128400435255713,0.036036036036036,0.146886016451234,0.185243328100471,0.00937866354044549,0.265957446808511
Treatment 1,Class and future in one pen,Pouch you can vouch on.,Watch for Swiss class.,27,23,22,82,83,73,,73,,-0.215030998619283,0.215030998619283,t,0.132258064516129,0.136513157894737,0.0815642458100559,0.105263157894737,0.83,0.121869782971619
Treatment 2,"Titanium & brass, better pen","Simple, useful, pouches","Sleek, automatic swiss watches",28,23,30,162,79,252,,252,,0.337331072377211,0.337331072377211,t,0.372413793103448,0.114825581395349,0.777777777777778,0.529411764705882,0.091118800461361,0.277839029768467
Treatment 3,"Smooth ink flow, German nib","Three Durable, Water-Resistant",Titanium & Ceramic watch,27,30,24,117,96,252,,252,,0.738619157589002,0.738619157589002,t,0.171052631578947,0.115942028985507,0.541935483870968,0.75974025974026,0.096579476861167,0.427118644067797
Treatment 1,More than just a fountain pen,Simple bags for your stuff,A beautiful watch to watch,29,26,26,124,191,68,,68,,-0.624923056307821,0.624923056307821,t,0.171270718232044,0.378217821782178,0.472222222222222,0.165113182423435,0.34981684981685,0.102719033232628
Treatment 2,The future of writing,PROJKA MINIMALIST POUCHES,SWISS LIV AUTO WATCHES,21,25,22,140,116,251,,251,,0.52644505618258,0.52644505618258,t,0.445859872611465,0.169343065693431,0.329829172141919,0.243478260869565,0.28361858190709,0.508097165991903
Treatment 3,Elegance in a pen,Staying organized with a zip,The future of watches is here,17,28,29,47,44,80,,80,,0.146581072632656,0.146581072632656,t,0.0997876857749469,0.121546961325967,0.196078431372549,0.0486542443064182,0.299319727891156,0.334728033472803
Control 1,"Pick a color, keep the style",Amazing pouches,Titanium and perfect,28,15,20,61,117,148,148,,,0.502584446842546,0.502584446842546,c,0.354651162790698,0.195,0.189500640204866,0.134657836644592,0.126760563380282,0.217647058823529
Control 2,A pen to make you matter,Little pushes you can use,Nothing but titanium timepiece,24,25,30,137,134,113,113,,,-0.422642121951209,0.422642121951209,c,0.179554390563565,0.210361067503925,0.200710479573712,0.154802259887006,0.232235701906412,0.213610586011342
Control 3,An innovative in aluminium,Great little pouches,The best that you can get.,26,20,26,94,5,212,212,,,0.660869864770321,0.660869864770321,c,0.671428571428571,0.0133689839572193,0.242562929061785,0.162629757785467,0.0181818181818182,0.538071065989848
Control 1,Elegant pen for everyday,Water proof pouches!,Simple watches are the best,24,20,27,168,31,50,50,,,-1.14457706988202,1.14457706988202,c,0.243831640058055,0.0761670761670762,0.088339222614841,0.2,0.0414438502673797,0.0618811881188119
Control 2,Technically superior pen,"Small medium large, pouches!",Watches made of titanium!,24,28,25,88,99,161,161,,,0.353738525591724,0.353738525591724,c,0.093816631130064,0.226027397260274,0.774038461538462,0.465608465608466,0.145374449339207,0.696969696969697
