batch,round,team,ad,product,score
1537383461108,0,C,Experience Time Differently,clock,62
1537469927686,3,B,Shift your world!,chair,62
1537495877175,0,B,Bring your chair anywhere.,chair,62
1537506246657,3,A,Show yourself in style.,bike,62
1537374623626,0,A,Art of Time,clock,61
1537467916348,3,A,A new design for telling time,clock,61
1537467916348,3,B,A clock with charisma.,clock,61
1537469927686,2,A,Time Speaks in Color,clock,61
1537506246657,2,B,A shape for every lifestyle,chair,61
1537382897232,0,C,See time differently,clock,60
1537384347594,0,A,Get creative with your time,clock,60
1537495877175,2,A,Light up the night,bike,60
1537368092510,0,A,A Clock for the Modern World,clock,59
1537368092510,3,C,Folds to Fit Your Life,chair,59
1537373513358,0,C,A clock for the thinker.  A cl,clock,59
1537389651302,1,A,Light Up Your Life,clock,59
1537389651302,2,A,Game Changer Chair,chair,59
1537389651302,2,C,Shift your space into shape!,chair,59
1537468382160,1,B,Brighten your ride!,bike,59
1537470547516,0,A,"The Modern, Space-Saving Chair",chair,59
1537389651302,1,B,Time for A Change,clock,58
1537457601816,3,B,Take your chair anywhere,chair,58
1537467916348,1,A,Customized chair for anywhere,chair,58
1537467916348,2,B,Mineral tea from under the Sea,tea,58
1537366991708,2,C,Nutritional and Earth Friendly,tea,57
1537382897232,1,C,"Less Space, Less Haste",chair,57
1537382897232,2,C,"Be Safe, Be Bright",bike,57
1537383461108,1,B,"Functional, Flexible Seating",chair,57
1537383461108,1,C,Transforming the Common Chair,chair,57
1537462530769,3,A,See Time in a New Light,clock,57
1537467916348,2,A,Mineral rich tea from the sea,tea,57
1537469927686,3,A,Shape Sit the Future,chair,57
1537366991708,0,C,Rethink time,clock,56
1537366991708,1,C,Light up your night rides!,bike,56
1537366991708,3,A,Create Your Unique Seat!,chair,56
1537383461108,1,A,Seating - Your Way.,chair,56
1537389651302,2,B,The Chair that Shapes You,chair,56
1537394153564,0,B,A different kind of clock,clock,56
1537457601816,1,B,How does the future tell time?,clock,56
1537457601816,2,A,Riding into the future,bike,56
1537472945609,0,B,Rich minerals that taste great,tea,56
1537366991708,0,A,Time is limited...think inside,clock,55
1537373513358,3,A,"Rich in Minerals, Rich for You",tea,55
1537462530769,2,B,Lights the Night to Keep Safe,bike,55
1537468382160,3,B,Super tea from the sea,tea,55
1537470200819,0,A,Reflection made simple,bike,55
1537474984529,0,B,Tea with many health benefits,tea,55
1537477349929,1,B,Looks at time in a new light.,clock,55
1537496375662,0,B,Next clock for the modern home,clock,55
1537366991708,3,C,Versatile decorative chair!,chair,54
1537368092510,2,A,Reflecting Wheels of Light,bike,54
1537373513358,1,A,Modern way to take a seat,chair,54
1537374623626,0,B,A unique look at time,clock,54
1537382897232,2,A,Night Vision Cycle,bike,54
1537383461108,0,B,Unique way of time,clock,54
1537389651302,0,A,Organic Tea from the Sea,tea,54
1537373513358,3,B,Tea for the Green and Healthy,tea,53
1537375193016,0,A,Tea: Made from the Sea,tea,53
1537382897232,1,A,Simple seating,chair,53
1537389651302,1,C,"A dynamic, new twist on time!",clock,53
1537389651302,3,C,Let your ride reflect you,bike,53
