"","room","userID","message","time","batch","round","X_id","createdAt","updatedAt"
"1","A","cPy2UpUwZL7L13pxAAA9","!Protect what's important",469.34,1534287515706,1,"09aTsU1qaaD75Jtl","2018-08-14T23:25:20.703Z","2018-08-14T23:25:20.703Z"
"2","B","dzTfvhlQxdUaSiKFAAAe","To submit the final answer?",328.084,1534287515706,1,"0LxCUhrKXXBUBULj","2018-08-14T23:22:59.448Z","2018-08-14T23:22:59.448Z"
"3","A","_rd538HxdAqf-w0BAAAl","I like that, the twist",363.573,1534287515706,0,"0e9Ax1NVBXXddduc","2018-08-14T23:13:30.228Z","2018-08-14T23:13:30.228Z"
"4","C","JqmKck6Txg3VkNbTAAA5","i can do it",417.042,1534287515706,1,"0eTlcdw3uYOWuawa","2018-08-14T23:24:28.406Z","2018-08-14T23:24:28.406Z"
"5","C","dzTfvhlQxdUaSiKFAAAe","Lets go ahead then",340.843,1534287515706,2,"0fXAO5rNScwbx7TY","2018-08-14T23:32:38.641Z","2018-08-14T23:32:38.641Z"
"6","A","cPy2UpUwZL7L13pxAAA9","I was thinking for the durability",153.734,1534287515706,1,"0t5mPKkCIZ2Rcaza","2018-08-14T23:20:05.097Z","2018-08-14T23:20:05.097Z"
"7","A","NDyPHAPp-WiyntvlAAAU","I would say we should talk about how it's elegant and simple but also functional",100.279,1534287515706,0,"1HDis5ew7okFdrUX","2018-08-14T23:09:06.933Z","2018-08-14T23:09:06.933Z"
"8","A","NDyPHAPp-WiyntvlAAAU","hello",30.508,1534287515706,1,"1L6bM3jWVi6n6imr","2018-08-14T23:18:01.871Z","2018-08-14T23:18:01.871Z"
"9","C","cPy2UpUwZL7L13pxAAA9","thanks!",157.606,1534287515706,0,"1TPkedU3GZIzri5K","2018-08-14T23:10:04.261Z","2018-08-14T23:10:04.261Z"
"10","A","cPy2UpUwZL7L13pxAAA9","Small, but mighty.",105.533,1534287515706,1,"1grS7xdt7x00t7Af","2018-08-14T23:19:16.897Z","2018-08-14T23:19:16.897Z"
"11","A","NDyPHAPp-WiyntvlAAAU","!Style with No Sacrifice",435.585,1534287515706,2,"1lmkZf5bz89yKbOd","2018-08-14T23:34:13.384Z","2018-08-14T23:34:13.384Z"
"12","A","_rd538HxdAqf-w0BAAAl","has left the chatroom",566.523,1534287515706,3,"1uHaDsSh5gqwW7LB","2018-08-14T23:36:24.321Z","2018-08-14T23:36:24.321Z"
"13","A","_rd538HxdAqf-w0BAAAl","I like that Style with no sacrifice",215.161,1534287515706,2,"20AZm7NfYqmJZKl4","2018-08-14T23:30:32.960Z","2018-08-14T23:30:32.960Z"
"14","C","dzTfvhlQxdUaSiKFAAAe","time for greatness, be bold with pilot is 38 characters",182.343,1534287515706,2,"23fWpRJnmRIsQt8y","2018-08-14T23:30:00.141Z","2018-08-14T23:30:00.141Z"
"15","A","_rd538HxdAqf-w0BAAAl","I don't lol",265.461,1534287515706,0,"27Ed004lMetD5eX7","2018-08-14T23:11:52.115Z","2018-08-14T23:11:52.115Z"
"16","B","dzTfvhlQxdUaSiKFAAAe","we need to restrict it to 30 characters",177.104,1534287515706,1,"2TRhROKJLdKmco5W","2018-08-14T23:20:28.468Z","2018-08-14T23:20:28.468Z"
"17","C","JqmKck6Txg3VkNbTAAA5","!no more worries, let projka carry the rest",439.056,1534287515706,1,"2ZaeOdZXWVNHwspI","2018-08-14T23:24:50.420Z","2018-08-14T23:24:50.420Z"
"18","C","_rd538HxdAqf-w0BAAAl","That sounds good. We could also change worry to worries since many people have more than one worry. I do lol",358.094,1534287515706,1,"2woTRh39PBO7Mp0e","2018-08-14T23:23:29.457Z","2018-08-14T23:23:29.457Z"
"19","A","NDyPHAPp-WiyntvlAAAU","sleek and modern, yeah. ",172.292,1534287515706,0,"33CmClcJSt2M7kQ8","2018-08-14T23:10:18.947Z","2018-08-14T23:10:18.947Z"
"20","C","cPy2UpUwZL7L13pxAAA9","I like dzTfvhlQxdUaSiKFAAAe ",283.631,1534287515706,2,"3CvQM0osotWALPEH","2018-08-14T23:31:41.429Z","2018-08-14T23:31:41.429Z"
"21","B","Ew-wme2ssUwbICXwAABE","Hi all!",27.769,1534287515706,2,"3P4LbZ8OFyB3QPJe","2018-08-14T23:27:25.568Z","2018-08-14T23:27:25.568Z"
