"","room","batch","round","condition","team","task","n","teamMeanViability","teamMedianViability","groupManipulationCheck","teamProportionFracture","teamMembers","viabilityZ","teamFracture","fracture"
"1","A",1553010760733,1,"masked","A","creative",3,68,70,0.333333333333333,0.333333333333333,"1559TOVM5N4ZfCCgAAAl, 4SeZrlFT8ziYW7gKAAAj, UjEH5Kua-bIYRGWNAAAm",1.44794106176039,FALSE,0
"2","A",1553010760733,3,"masked","B","creative",4,49.25,48.5,0.5,0.75,"4SeZrlFT8ziYW7gKAAAj, H8uRlcRTmhmLofAQAAA9, odEX9A3hHjUl4rJzAAAk, vQ8ygNfAUl9uM57iAAAU",-0.742208695525697,TRUE,1
"3","A",1553010760733,4,"masked","Ap","creative",3,70,70,0.333333333333333,0,"1559TOVM5N4ZfCCgAAAl, 4SeZrlFT8ziYW7gKAAAj, UjEH5Kua-bIYRGWNAAAm",1.68155703587091,FALSE,0
"4","A",1553019661611,3,"unmasked","B","creative",3,67.6666666666667,70,0,0,"ggOrR9m9bvD7DQtsAAAs, hh90jqEHdPsybu9OAAAN, tOvNhY775BD-YrVFAAA0",1.40900506607531,FALSE,0
"5","A",1553021461648,3,"masked","B","creative",3,49,54,0.333333333333333,0.333333333333333,"6v9ivd1gpe0WsjlkAAAN, w50D6C4MU-_zVsqaAAAU, ZT9lyX6WbvtyvE8xAAAi",-0.771410692289511,FALSE,0
"6","A",1553100662161,1,"unmasked","A","creative",4,57.75,57.5,0.25,0.25,"4t-ahDADaepcacHMAAAe, 6dY0REU3ILFF4xbNAAAV, nQU251nCzcjawjCCAAA5, NWKohphMVlnAaDi0AABD",0.250659194443997,FALSE,0
"7","A",1553100662161,2,"unmasked","B","creative",4,61,63,0,0.5,"17VyFyF2VQxNkld7AAA3, b1tlRgWiJtKIsFyXAABB, fJGhZVrcaAvd6WVzAAA7, NWKohphMVlnAaDi0AABD",0.630285152373586,TRUE,1
"8","A",1553100662161,3,"unmasked","B","creative",4,58,56,0.25,0,"-wwy0dUb_eUqV2SAAAA0, NWKohphMVlnAaDi0AABD, qRcZzGQ_zvyrDSRDAAA9, ZcfvTbQ_UfdGqOvNAAAE",0.279861191207812,FALSE,0
"9","A",1553100662161,4,"unmasked","Ap","creative",4,66.5,70,0.25,0,"4t-ahDADaepcacHMAAAe, 6dY0REU3ILFF4xbNAAAV, nQU251nCzcjawjCCAAA5, NWKohphMVlnAaDi0AABD",1.27272908117751,FALSE,0
"10","A",1553169662360,1,"unmasked","A","creative",3,54.6666666666667,59,0.666666666666667,0.666666666666667,"3ZUuhLNwyneoeaC2AAAU, EV0AVKpsfzkIhow5AAAY, WKGtwPgcTYpTIkJKAAAw",-0.109498765643049,TRUE,1
"11","A",1553169662360,3,"unmasked","B","creative",3,45,52,0.333333333333333,1,"9s_MrTL8wucLkmNMAAAP, JiPvfKrX6trPNFiQAAAp, l21_yCV6kDLuZsMVAAAH",-1.23864264051054,TRUE,1
"12","A",1553169662360,4,"unmasked","Ap","creative",3,58.6666666666667,56,0.666666666666667,0,"3ZUuhLNwyneoeaC2AAAU, EV0AVKpsfzkIhow5AAAY, WKGtwPgcTYpTIkJKAAAw",0.357733182577983,FALSE,0
"13","A",1553172662087,2,"masked","B","creative",3,49,59,0,0,"CaBGL-y6YjIM6iy8AAAQ, jea23vjGbRN3F_OcAAAJ, le2faIQ4dt3Vt8paAAAc",-0.771410692289511,FALSE,0
"14","A",1553174461586,1,"masked","A","creative",4,51.25,54.5,0.5,0.25,"73-CgYD9sq5TH9q4AAAc, oxrwZzz9Yxge-zpuAAAv, R5UZLNeGWd9IZcN8AABT, SdKzmAjL4pNRjowBAAAY",-0.508592721415181,FALSE,0
"15","A",1553174461586,2,"masked","B","creative",3,56.6666666666667,58,0,0,"73-CgYD9sq5TH9q4AAAc, G1I7uGyiDFUno7URAAAm, VXL440s1Cp9IWRzoAAAx",0.124117208467467,FALSE,0
"16","A",1553174461586,3,"masked","Ap","creative",4,49.25,54.5,0.5,0.75,"73-CgYD9sq5TH9q4AAAc, oxrwZzz9Yxge-zpuAAAv, R5UZLNeGWd9IZcN8AABT, SdKzmAjL4pNRjowBAAAY",-0.742208695525697,TRUE,1
"17","A",1553175061606,1,"unmasked","A","creative",3,58.6666666666667,55,0.333333333333333,0.333333333333333,"4MpvR385XeW3jUPaAAA3, eSbmg0bQnkZl2wcXAAAw, iA5MoziAxMj_0ZrRAAA0",0.357733182577983,FALSE,0
"18","A",1553175061606,2,"unmasked","B","creative",4,52.25,57,0.75,0,"9REjt8cYo5rS0FlhAAAu, eSbmg0bQnkZl2wcXAAAw, H2gkvoIdyBM8dPNbAAAr, pqsqTb0XOgy9I0UDAABC",-0.391784734359922,FALSE,0
