"","room","batch","round","condition","results.condition","results.format","n","mean","median","prop","groupID","fracture"
"1","A",1534356049092,1,"A","treatment","c(1, 2, 1)",2,37.5,37.5,1,1.25468672439456,1
"2","A",1534356049092,2,"B","treatment","c(1, 2, 1)",2,56.5,56.5,0,0.207914001308382,0
"3","A",1534356049092,3,"Ap","treatment","c(1, 2, 1)",2,67.5,67.5,0,0.383985019288957,0
"4","A",1534883331480,1,"A","treatment","c(1, 2, 1)",2,58.5,58.5,0,1.68422086723149,0
"5","A",1534883331480,3,"Ap","treatment","c(1, 2, 1)",2,52.5,52.5,0.5,1.55452117603272,1
"6","A",1534893597484,1,"A","treatment","c(1, 2, 1)",2,29.5,29.5,1,1.24071578634903,1
"7","A",1534893597484,3,"Ap","treatment","c(1, 2, 1)",2,62.5,62.5,0,1.77194483624771,0
"8","A",1534965856368,2,"B","treatment","c(1, 2, 1)",2,56,56,0,0.222536899149418,0
"9","A",1535036462235,1,"B","control","c(2, 1, 1)",2,62,62,0,1.8727171337232,0
"10","A",1535043662301,3,"B","control","c(1, 1, 2)",2,46.5,46.5,0.5,1.52643048251048,1
"11","A",1535046705869,1,"A","treatment","c(1, 2, 1)",2,61,61,0,1.01973930932581,0
"12","A",1535046705869,3,"Ap","treatment","c(1, 2, 1)",2,53.5,53.5,0,0.331722848117352,0
"13","A",1535053364227,3,"C","baseline","1:3",2,49.5,49.5,0.5,1.33913682680577,1
"14","A",1535133781647,1,"A","baseline","1:3",2,66,66,0,1.49255434656516,0
"15","A",1535151954966,2,"A","control","c(2, 1, 1)",2,53,53,0.5,1.28142000036314,1
"16","A",1535151954966,3,"Ap","control","c(2, 1, 1)",2,58,58,0.5,0.922004241961986,1
"17","A",1535399280044,2,"B","baseline","1:3",2,38,38,0.5,0.521486905403435,1
"18","A",1535399280044,3,"C","baseline","1:3",2,61,61,0,1.16436531674117,0
"19","A",1535400139560,1,"A","baseline","1:3",2,51,51,0,0.144588332157582,0
"20","A",1535400139560,2,"B","baseline","1:3",2,59.5,59.5,0,1.60456740064546,0
"21","A",1535414573971,2,"B","baseline","1:3",2,52,52,0,1.21453779516742,0
"22","A",1535465389122,1,"A","treatment","c(1, 1, 2)",2,52,52,0.5,1.4184173187241,1
"23","A",1535465389122,2,"Ap","treatment","c(1, 1, 2)",2,63,63,0,0.0841459212824702,0
"24","A",1535465389122,3,"B","treatment","c(1, 1, 2)",2,61.5,61.5,0.5,1.31434206152335,1
"25","A",1535469595211,1,"B","treatment","c(2, 1, 1)",2,41.5,41.5,0.5,0.356512401718646,1
"26","A",1535485838343,3,"B","treatment","c(1, 1, 2)",2,56,56,0,0.331306407693774,0
"27","A",1535499714883,2,"B","baseline","1:3",2,57.5,57.5,0.5,0.888873031362891,1
"28","A",1535506770832,1,"A","treatment","c(1, 1, 2)",2,61,61,0,0.560526319779456,0
"29","A",1535506770832,2,"Ap","treatment","c(1, 1, 2)",2,42,42,0.5,1.45861989911646,1
"30","A",1535508140527,2,"A","control","c(2, 1, 1)",2,47.5,47.5,0,0.128597946371883,0
"31","A",1535508140527,3,"Ap","control","c(2, 1, 1)",2,63,63,0,1.97733782790601,0
"32","A",1535567328002,1,"A","baseline","1:3",2,61.5,61.5,0,0.42041696049273,0
"33","A",1535567328002,3,"C","baseline","1:3",2,70,70,0,0.243539772927761,0
"34","A",1535575374559,1,"A","baseline","1:3",2,50,50,0.5,0.388135133776814,1
"35","A",1535575374559,2,"B","baseline","1:3",2,67,67,0,1.63299343828112,0
"36","A",1535576148516,1,"B","control","c(2, 1, 1)",2,29.5,29.5,1,1.97121421713382,1
"37","A",1535579642917,1,"B","control","c(2, 1, 1)",2,36,36,1,0.151697246357799,1
"38","A",1535583912307,3,"C","baseline","1:3",2,60,60,0,1.95509820757434,0
"39","A",1535587309558,2,"B","baseline","1:3",2,21,21,1,0.997143329121172,1
"40","A",1535587309558,3,"C","baseline","1:3",2,51.5,51.5,0.5,0.686944504268467,1
"41","A",1535587845707,2,"B","baseline","1:3",2,40.5,40.5,0.5,1.81473067775369,1
"42","A",1535641262001,1,"A","baseline","1:3",2,41.5,41.5,0.5,1.13323981920257,1
"43","A",1535644862176,3,"B","control","c(1, 1, 2)",2,62.5,62.5,0.5,1.74587480723858,1
"44","A",1535662860294,1,"A","baseline","1:3",2,32.5,32.5,1,1.80907781841233,1
"45","A",1535662860294,3,"C","baseline","1:3",2,63.5,63.5,0,0.334342140238732,0
"46","A",1535664584229,1,"A","control","c(1, 2, 1)",2,60,60,0,0.242769818287343,0
"47","A",1535664584229,3,"Ap","control","c(1, 2, 1)",2,63,63,0,0.864135182462633,0
"48","B",1534887745334,1,"A","treatment","c(1, 2, 1)",2,63,63,0,0.936750207562,0
"49","B",1534887745334,2,"B","treatment","c(1, 2, 1)",2,39.5,39.5,1,1.35720619466156,1
"50","B",1534887745334,3,"Ap","treatment","c(1, 2, 1)",2,50.5,50.5,0,1.51745176827535,0
"51","B",1534893597484,2,"B","treatment","c(1, 2, 1)",2,64,64,0,1.69515922665596,0
"52","B",1534894490335,1,"A","treatment","c(1, 2, 1)",2,45,45,0.5,0.365533605217934,1
"53","B",1534894490335,3,"Ap","treatment","c(1, 2, 1)",2,64,64,0,0.0295891873538494,0
"54","B",1534896122348,1,"A","treatment","c(1, 2, 1)",2,34.5,34.5,1,1.80482660559937,1
"55","B",1534896122348,3,"Ap","treatment","c(1, 2, 1)",2,59,59,0,0.155543797183782,0
"56","B",1534980081847,2,"B","treatment","c(1, 2, 1)",2,63.5,63.5,0,0.581037135794759,0
"57","B",1535036462235,1,"B","control","c(2, 1, 1)",2,44,44,0.5,1.84323721658438,1
"58","B",1535043662301,1,"A","control","c(1, 1, 2)",2,58.5,58.5,0,1.34462885372341,0
"59","B",1535043662301,2,"Ap","control","c(1, 1, 2)",2,49,49,0.5,0.576988822314888,1
"60","B",1535043662301,3,"B","control","c(1, 1, 2)",2,48.5,48.5,0.5,1.32689082249999,1
